time,open,high,low,close,Volume
2022-03-01T11:30:00-03:00,70.18,71.19,70.0,70.14,96580
2022-03-01T11:45:00-03:00,70.15,70.33,69.41,69.45,61325
2022-03-01T12:00:00-03:00,69.7,69.98,69.16,69.69,34303
2022-03-01T12:15:00-03:00,69.77,70.72,69.76,70.57,117887
2022-03-01T12:30:00-03:00,70.59,70.9,69.45,69.45,109210
2022-03-01T12:45:00-03:00,69.46,69.55,68.88,69.11,139011
2022-03-01T13:00:00-03:00,69.07,69.58,68.93,69.47,93643
2022-03-01T13:15:00-03:00,69.47,69.63,68.78,68.86,91058
2022-03-01T13:30:00-03:00,68.88,68.88,68.04,68.51,159799
2022-03-01T13:45:00-03:00,68.51,68.52,67.97,68.2,89729
2022-03-01T14:00:00-03:00,68.17,68.45,67.93,68.45,65250
2022-03-01T14:15:00-03:00,68.38,68.86,68.3,68.53,63925
2022-03-01T14:30:00-03:00,68.5,68.69,68.21,68.64,46249
2022-03-01T14:45:00-03:00,68.69,69.12,68.6,69.07,37988
2022-03-01T15:00:00-03:00,69.06,69.24,68.78,68.83,35784
2022-03-01T15:15:00-03:00,68.72,69.1,68.54,68.56,36388
2022-03-01T15:30:00-03:00,68.55,68.87,68.39,68.45,41703
2022-03-01T15:45:00-03:00,68.45,68.68,68.17,68.67,45509
2022-03-01T16:00:00-03:00,68.67,68.77,68.37,68.42,32738
2022-03-01T16:15:00-03:00,68.5,69.13,68.34,69.03,41668
2022-03-01T16:30:00-03:00,69.02,69.37,68.84,69.26,44620
2022-03-01T16:45:00-03:00,69.26,69.26,68.8,68.93,41337
2022-03-01T17:00:00-03:00,68.89,69.61,68.87,69.17,76680
2022-03-01T17:15:00-03:00,69.18,69.21,68.42,68.42,45891
2022-03-01T17:30:00-03:00,68.41,68.52,68.08,68.09,41908
2022-03-01T17:45:00-03:00,68.07,68.36,67.7,68.31,130670
2022-03-02T11:30:00-03:00,68.43,68.44,66.84,67.9,162026
2022-03-02T11:45:00-03:00,67.87,68.16,66.56,66.68,140826
2022-03-02T12:00:00-03:00,66.7,66.76,65.55,65.65,171422
2022-03-02T12:15:00-03:00,65.63,66.36,65.16,66.23,175621
2022-03-02T12:30:00-03:00,66.21,66.5,65.68,65.95,79708
2022-03-02T12:45:00-03:00,66.01,66.2,65.52,65.79,57947
2022-03-02T13:00:00-03:00,65.79,66.86,65.51,66.82,78716
2022-03-02T13:15:00-03:00,66.82,66.96,66.45,66.66,57911
2022-03-02T13:30:00-03:00,66.77,67.01,66.34,66.37,74068
2022-03-02T13:45:00-03:00,66.36,66.66,66.0,66.19,32776
2022-03-02T14:00:00-03:00,66.17,67.0,66.07,67.0,48936
2022-03-02T14:15:00-03:00,67.02,67.19,66.76,66.9,22831
2022-03-02T14:30:00-03:00,66.88,66.96,66.49,66.69,17929
2022-03-02T14:45:00-03:00,66.69,66.86,66.49,66.69,17926
2022-03-02T15:00:00-03:00,66.74,67.68,66.7,67.63,72424
2022-03-02T15:15:00-03:00,67.59,67.64,67.4,67.58,31881
2022-03-02T15:30:00-03:00,67.63,67.7,67.34,67.54,28154
2022-03-02T15:45:00-03:00,67.57,67.57,67.06,67.45,43734
2022-03-02T16:00:00-03:00,67.48,67.745,67.38,67.67,18674
2022-03-02T16:15:00-03:00,67.72,67.85,67.26,67.37,20950
2022-03-02T16:30:00-03:00,67.42,67.6,67.19,67.6,20326
2022-03-02T16:45:00-03:00,67.61,67.7,67.29,67.36,24750
2022-03-02T17:00:00-03:00,67.43,67.84,67.43,67.46,23795
2022-03-02T17:15:00-03:00,67.58,67.6,67.31,67.59,19443
2022-03-02T17:30:00-03:00,67.55,67.87,67.54,67.83,35236
2022-03-02T17:45:00-03:00,67.86,67.97,67.535,67.59,70586
2022-03-03T11:30:00-03:00,67.9,68.01,66.0,66.01,177768
2022-03-03T11:45:00-03:00,66.02,66.33,65.68,65.88,111768
2022-03-03T12:00:00-03:00,65.96,66.385,65.15,65.34,136772
2022-03-03T12:15:00-03:00,65.32,65.32,64.4,64.58,117708
2022-03-03T12:30:00-03:00,64.57,64.98,64.29,64.38,67330
2022-03-03T12:45:00-03:00,64.41,64.49,63.98,64.06,82211
2022-03-03T13:00:00-03:00,64.08,64.3,63.84,63.9,42719
2022-03-03T13:15:00-03:00,63.9,64.94,63.74,64.7,93243
2022-03-03T13:30:00-03:00,64.62,64.92,64.13,64.87,72567
2022-03-03T13:45:00-03:00,64.86,64.87,64.27,64.71,31278
2022-03-03T14:00:00-03:00,64.59,64.71,64.31,64.53,18019
2022-03-03T14:15:00-03:00,64.46,64.49,63.76,63.83,17051
2022-03-03T14:30:00-03:00,63.74,64.9,63.74,64.31,52459
2022-03-03T14:45:00-03:00,64.29,64.32,63.87,64.06,49183
2022-03-03T15:00:00-03:00,64.02,64.42,63.98,64.37,32211
2022-03-03T15:15:00-03:00,64.35,64.76,64.32,64.58,43728
2022-03-03T15:30:00-03:00,64.54,64.54,63.83,63.94,54163
2022-03-03T15:45:00-03:00,63.91,64.15,63.775,63.82,26529
2022-03-03T16:00:00-03:00,63.86,64.18,63.58,64.18,48855
2022-03-03T16:15:00-03:00,64.14,64.25,63.64,63.8,33752
2022-03-03T16:30:00-03:00,63.84,63.84,63.37,63.4,25615
2022-03-03T16:45:00-03:00,63.41,63.44,63.2,63.35,19231
2022-03-03T17:00:00-03:00,63.34,63.34,62.95,63.05,22109
2022-03-03T17:15:00-03:00,63.07,63.23,62.98,63.22,27808
2022-03-03T17:30:00-03:00,63.21,63.27,62.85,62.93,36784
2022-03-03T17:45:00-03:00,62.91,63.27,62.73,63.25,119765
2022-03-04T11:30:00-03:00,63.27,64.41,62.62,62.67,219662
2022-03-04T11:45:00-03:00,62.82,62.93,62.12,62.87,171334
2022-03-04T12:00:00-03:00,62.82,63.05,61.79,61.93,120721
2022-03-04T12:15:00-03:00,61.88,62.18,61.71,61.99,75971
2022-03-04T12:30:00-03:00,61.81,62.13,61.55,61.72,42749
2022-03-04T12:45:00-03:00,61.69,61.73,61.16,61.16,30578
2022-03-04T13:00:00-03:00,61.08,61.17,60.42,60.57,43441
2022-03-04T13:15:00-03:00,60.585,61.12,60.58,61.02,98016
2022-03-04T13:30:00-03:00,61.02,61.26,60.65,61.095,22933
2022-03-04T13:45:00-03:00,61.14,61.19,60.59,60.7,47302
2022-03-04T14:00:00-03:00,60.71,61.26,60.34,61.24,82204
