time,open,high,low,close,Volume
2022-03-01T11:30:00-03:00,19.96,20.02,19.35,19.46,175106
2022-03-01T11:45:00-03:00,19.47,19.495,19.26,19.33,104806
2022-03-01T12:00:00-03:00,19.33,19.42,19.125,19.165,109203
2022-03-01T12:15:00-03:00,19.15,19.28,19.15,19.28,86317
2022-03-01T12:30:00-03:00,19.29,19.4,19.1,19.1,108482
2022-03-01T12:45:00-03:00,19.1,19.185,19.025,19.035,107353
2022-03-01T13:00:00-03:00,19.03,19.07,18.945,19.02,103450
2022-03-01T13:15:00-03:00,19.03,19.03,18.885,18.9,84541
2022-03-01T13:30:00-03:00,18.9,18.915,18.79,18.82,124110
2022-03-01T13:45:00-03:00,18.815,18.82,18.68,18.73,89871
2022-03-01T14:00:00-03:00,18.72,18.835,18.65,18.835,67493
2022-03-01T14:15:00-03:00,18.83,18.91,18.765,18.87,68853
2022-03-01T14:30:00-03:00,18.88,18.98,18.83,18.98,62359
2022-03-01T14:45:00-03:00,18.985,19.05,18.95,19.04,33252
2022-03-01T15:00:00-03:00,19.02,19.08,18.86,18.86,54179
2022-03-01T15:15:00-03:00,18.89,18.89,18.725,18.74,60599
2022-03-01T15:30:00-03:00,18.74,18.86,18.73,18.76,93509
2022-03-01T15:45:00-03:00,18.74,18.785,18.62,18.76,64559
2022-03-01T16:00:00-03:00,18.78,18.78,18.7,18.72,47881
2022-03-01T16:15:00-03:00,18.715,18.985,18.665,18.95,77564
2022-03-01T16:30:00-03:00,18.96,19.0,18.89,19.0,58961
2022-03-01T16:45:00-03:00,19.0,19.055,18.92,18.95,158909
2022-03-01T17:00:00-03:00,18.94,19.16,18.915,19.0,94906
2022-03-01T17:15:00-03:00,19.02,19.02,18.855,18.855,139507
2022-03-01T17:30:00-03:00,18.84,18.88,18.785,18.785,165178
2022-03-01T17:45:00-03:00,18.79,18.88,18.735,18.88,302943
2022-03-02T11:30:00-03:00,19.13,19.49,19.13,19.45,170882
2022-03-02T11:45:00-03:00,19.45,19.58,19.23,19.28,84604
2022-03-02T12:00:00-03:00,19.27,19.325,18.82,18.82,123208
2022-03-02T12:15:00-03:00,18.82,18.96,18.695,18.93,180608
2022-03-02T12:30:00-03:00,18.93,19.005,18.77,18.945,93285
2022-03-02T12:45:00-03:00,18.955,18.96,18.78,18.82,63226
2022-03-02T13:00:00-03:00,18.83,19.13,18.77,19.1,115904
2022-03-02T13:15:00-03:00,19.1,19.15,19.065,19.1,41592
2022-03-02T13:30:00-03:00,19.105,19.18,19.005,19.045,70356
2022-03-02T13:45:00-03:00,19.065,19.12,19.01,19.03,32899
2022-03-02T14:00:00-03:00,19.01,19.04,18.91,18.94,48983
2022-03-02T14:15:00-03:00,18.94,18.95,18.83,18.9,39279
2022-03-02T14:30:00-03:00,18.91,18.94,18.82,18.84,31545
2022-03-02T14:45:00-03:00,18.84,18.89,18.8,18.87,33249
2022-03-02T15:00:00-03:00,18.9,19.08,18.9,19.07,28723
2022-03-02T15:15:00-03:00,19.06,19.06,18.995,19.01,13370
2022-03-02T15:30:00-03:00,19.02,19.04,18.98,19.03,15685
2022-03-02T15:45:00-03:00,19.03,19.03,18.96,19.02,39857
2022-03-02T16:00:00-03:00,19.03,19.09,19.02,19.06,39981
