time,open,high,low,close,Volume
1646145000,179.07,179.535,179.03,179.375,102785
1646145900,179.39,179.92,179.29,179.66,69272
1646146800,179.66,179.72,179.27,179.28,60284
1646147700,179.31,179.38,179.06,179.21,90811
1646148600,179.2,179.91,179.2,179.9,56893
1646149500,179.935,180.16,179.68,179.86,72265
1646150400,179.89,179.93,179.58,179.77,21993
1646151300,179.76,180.09,179.74,180.07,29026
1646152200,180.1,180.48,180.05,180.43,64872
1646153100,180.435,180.65,180.3,180.32,48337
1646154000,180.38,180.66,180.34,180.54,20873
1646154900,180.53,180.63,180.33,180.46,37626
1646155800,180.47,180.68,180.46,180.59,37050
1646156700,180.64,180.7,180.21,180.66,31349
1646157600,180.67,180.845,180.62,180.82,36305
1646158500,180.84,181.33,180.84,181.28,64347
1646159400,181.3,181.37,180.84,181.15,36619
1646160300,181.19,181.395,181.14,181.34,34329
1646161200,181.3,181.305,181.04,181.09,82002
1646162100,181.07,181.2,180.82,180.97,76014
1646163000,180.98,181.19,180.98,181.14,49086
1646163900,181.14,181.22,180.95,181.19,41403
1646164800,181.17,181.31,181.08,181.19,37483
1646165700,181.19,181.23,181.07,181.16,40112
1646166600,181.16,181.585,181.155,181.57,68729
1646167500,181.56,181.75,181.505,181.65,95180
1646231400,180.13,180.16,179.44,179.59,91807
1646232300,179.61,180.31,179.56,180.15,96003
1646233200,180.14,180.41,179.93,180.34,45788
1646234100,180.32,180.71,180.17,180.59,76186
1646235000,180.56,180.56,179.52,179.78,90418
1646235900,179.77,179.97,179.69,179.94,39896
1646236800,179.91,179.96,178.9,179.13,103346
1646237700,179.21,179.75,179.16,179.64,37766
1646238600,179.63,179.65,178.96,179.27,118215
1646239500,179.26,179.39,179.06,179.16,59622
1646240400,179.16,179.16,178.79,178.88,103370
1646241300,178.905,179.3,178.9,179.23,48450
1646242200,179.23,179.47,179.01,179.05,79884
1646243100,179.055,179.16,178.98,179.13,55358
1646244000,179.13,179.25,178.99,179.22,41366
1646244900,179.22,179.32,179.0,179.32,66182
1646245800,179.32,179.41,179.24,179.31,48635
1646246700,179.32,179.42,179.23,179.31,64901
1646247600,179.32,179.66,179.29,179.63,62213
1646248500,179.66,179.81,179.63,179.79,45657
1646249400,179.78,179.88,179.73,179.82,51705
1646250300,179.83,180.06,179.75,179.99,57533
1646251200,180.03,180.5,180.01,180.33,69040
1646252100,180.36,180.36,180.08,180.13,59304
1646253000,180.13,180.23,179.98,180.0,45134
1646253900,180.005,180.11,179.68,179.73,113264
1646317800,179.96,180.27,179.83,180.27,51555
1646318700,180.3,180.37,179.79,179.87,51570
1646319600,179.9,180.26,179.9,180.22,84336
1646320500,180.22,180.24,179.81,179.86,55872
1646321400,179.86,180.07,179.78,179.91,55424
1646322300,179.905,180.13,179.83,179.83,40236
1646323200,179.86,180.11,179.7,179.84,61081
1646324100,179.87,180.02,179.51,179.97,71151
1646325000,180.0,180.25,179.93,180.18,46514
1646325900,180.18,180.28,180.06,180.24,52801
1646326800,180.235,180.345,180.18,180.28,45891
1646327700,180.28,180.3,179.98,180.02,69845
1646328600,180.01,180.44,179.955,180.35,135902
1646329500,180.37,180.42,180.28,180.39,41591
1646330400,180.38,180.54,180.33,180.52,28383
1646331300,180.52,180.59,180.37,180.56,30651
1646332200,180.55,180.67,180.49,180.57,19928
1646333100,180.58,180.68,180.54,180.57,74798
1646334000,180.63,180.76,180.455,180.52,19833
1646334900,180.5,180.55,180.41,180.53,10919
1646335800,180.55,180.59,180.51,180.59,21295
1646336700,180.63,180.69,180.58,180.69,10744
1646337600,180.7,180.91,180.68,180.86,24849
1646338500,180.88,181.27,180.87,181.04,51482
1646339400,181.07,181.24,181.06,181.1,22906
1646340300,181.08,181.09,180.79,180.82,66585
1646404200,182.08,182.93,182.04,182.365,141189
1646405100,182.4,182.81,182.07,182.17,64346
1646406000,182.25,182.55,181.37,182.55,93410
1646406900,182.57,182.58,182.27,182.51,33730
1646407800,182.58,182.75,182.44,182.62,57452
1646408700,182.625,182.93,182.6,182.85,73762
1646409600,182.805,183.18,182.69,183.11,83337
1646410500,183.135,183.24,183.02,183.13,80919
1646411400,183.18,183.26,182.87,183.24,45792
1646412300,183.22,183.53,183.22,183.24,32772
1646413200,183.26,183.49,183.215,183.33,35504
1646414100,183.345,183.38,183.0,183.08,44670
1646415000,183.08,183.24,183.05,183.08,18134
1646415900,183.1,183.215,183.09,183.17,33789
1646416800,183.19,183.31,183.06,183.08,64758
1646417700,183.09,183.33,183.08,183.305,29461
1646418600,183.3,183.51,183.27,183.48,30798
1646419500,183.5,183.59,183.27,183.47,25551
1646420400,183.47,183.655,183.43,183.63,37722
1646421300,183.61,183.75,183.57,183.65,42172
1646422200,183.59,183.92,183.49,183.9,52709
1646423100,183.87,183.87,183.57,183.6,54360
1646424000,183.66,183.85,183.5,183.83,65888
1646424900,183.83,183.98,183.77,183.84,71219
1646425800,183.85,183.95,183.73,183.85,65413
1646426700,183.83,183.86,183.65,183.68,170200
1646663400,184.45,185.16,184.22,184.91,159763
1646664300,185.0,185.39,184.75,185.25,81888
1646665200,185.26,185.28,184.69,184.87,60996
1646666100,184.86,185.32,184.745,184.98,41072
1646667000,184.98,185.91,184.61,185.72,119355
1646667900,185.73,185.91,184.83,184.93,55786
1646668800,184.99,185.15,184.54,184.8,35055
1646669700,184.8,184.88,184.38,184.63,51092
1646670600,184.65,184.97,184.58,184.81,47412
1646671500,184.84,184.95,184.64,184.79,27293
1646672400,184.76,185.34,184.68,185.21,73541
1646673300,185.21,185.33,184.99,185.14,29109
1646674200,185.16,185.21,185.03,185.07,16917
1646675100,185.03,185.4,184.78,185.24,56998
1646676000,185.24,185.69,185.19,185.58,36894
1646676900,185.58,186.085,185.53,185.99,58889
1646677800,186.0,186.4,185.89,186.23,50977
1646678700,186.23,186.35,185.88,185.99,31834
1646679600,186.07,186.21,186.0,186.1,14567
1646680500,186.09,186.45,186.06,186.1,21369
1646681400,186.08,186.28,185.88,186.19,23620
