time,open,high,low,close,Volume
2022-03-01T11:30:00-03:00,112.35,112.49,110.48,110.6,68282
2022-03-01T11:45:00-03:00,110.8,110.81,109.6,109.89,30062
2022-03-01T12:00:00-03:00,110.02,110.45,109.07,109.19,29225
2022-03-01T12:15:00-03:00,109.2,110.36,109.2,109.8,27616
2022-03-01T12:30:00-03:00,109.84,110.09,108.96,108.99,19259
2022-03-01T12:45:00-03:00,109.0,109.09,108.54,108.69,17554
2022-03-01T13:00:00-03:00,108.61,108.91,108.145,108.67,26489
2022-03-01T13:15:00-03:00,108.8,108.8,107.71,107.8,27453
2022-03-01T13:30:00-03:00,107.79,107.79,107.03,107.62,30801
2022-03-01T13:45:00-03:00,107.62,107.7,106.7,106.83,20934
2022-03-01T14:00:00-03:00,106.78,107.5,106.78,107.48,14535
2022-03-01T14:15:00-03:00,107.43,107.75,107.25,107.4,18304
2022-03-01T14:30:00-03:00,107.28,107.32,106.91,107.32,20265
2022-03-01T14:45:00-03:00,107.31,107.6,107.135,107.51,17253
2022-03-01T15:00:00-03:00,107.5,107.78,106.87,106.87,18804
2022-03-01T15:15:00-03:00,106.89,107.16,106.66,106.68,10708
2022-03-01T15:30:00-03:00,106.66,107.01,106.61,106.7,18419
2022-03-01T15:45:00-03:00,106.8,107.08,106.56,106.98,16080
2022-03-01T16:00:00-03:00,107.06,107.15,106.62,106.66,35171
2022-03-01T16:15:00-03:00,106.68,107.37,106.52,107.27,25879
2022-03-01T16:30:00-03:00,107.3,107.52,107.08,107.48,14042
2022-03-01T16:45:00-03:00,107.45,107.49,107.0,107.12,16224
2022-03-01T17:00:00-03:00,107.05,107.85,107.05,107.46,30804
2022-03-01T17:15:00-03:00,107.48,107.51,106.36,106.36,40042
2022-03-01T17:30:00-03:00,106.32,106.54,105.89,105.89,37313
2022-03-01T17:45:00-03:00,105.89,106.62,105.62,106.53,85013
2022-03-02T11:30:00-03:00,105.64,106.33,104.615,105.54,63179
2022-03-02T11:45:00-03:00,105.48,106.01,104.83,105.03,26600
2022-03-02T12:00:00-03:00,105.02,105.06,104.15,104.26,26000
2022-03-02T12:15:00-03:00,104.19,104.94,103.69,104.87,34875
2022-03-02T12:30:00-03:00,104.99,105.3,104.43,104.65,26999
2022-03-02T12:45:00-03:00,104.69,104.88,104.19,104.43,12380
2022-03-02T13:00:00-03:00,104.49,105.84,104.07,105.84,21971
2022-03-02T13:15:00-03:00,105.83,106.0,105.36,105.67,11979
2022-03-02T13:30:00-03:00,105.75,106.29,105.41,105.44,13993
2022-03-02T13:45:00-03:00,105.52,105.68,105.03,105.12,16211
2022-03-02T14:00:00-03:00,105.1,105.82,104.92,105.82,20443
2022-03-02T14:15:00-03:00,105.86,106.05,105.32,105.44,10071
2022-03-02T14:30:00-03:00,105.38,105.54,105.21,105.5,11893
2022-03-02T14:45:00-03:00,105.48,105.7,105.24,105.69,11593
2022-03-02T15:00:00-03:00,105.71,106.65,105.71,106.62,23225
2022-03-02T15:15:00-03:00,106.6,106.85,106.41,106.67,18493
2022-03-02T15:30:00-03:00,106.74,106.84,106.47,106.51,11009
2022-03-02T15:45:00-03:00,106.52,106.52,106.17,106.29,12084
2022-03-02T16:00:00-03:00,106.42,106.69,106.26,106.57,11275
2022-03-02T16:15:00-03:00,106.6,106.68,106.07,106.21,21802
2022-03-02T16:30:00-03:00,106.21,106.58,106.09,106.58,13507
2022-03-02T16:45:00-03:00,106.6,106.62,106.09,106.13,21842
2022-03-02T17:00:00-03:00,106.2,106.86,106.2,106.52,14965
2022-03-02T17:15:00-03:00,106.58,106.82,106.345,106.8,27987
2022-03-02T17:30:00-03:00,106.74,107.14,106.73,106.98,24811
2022-03-02T17:45:00-03:00,106.97,107.2,106.58,106.58,60264
2022-03-03T11:30:00-03:00,107.67,107.67,106.18,106.18,21921
2022-03-03T11:45:00-03:00,106.15,106.19,105.19,105.62,23124
2022-03-03T12:00:00-03:00,105.6,105.95,104.83,105.01,16140
2022-03-03T12:15:00-03:00,104.92,104.92,103.92,104.1,26859
2022-03-03T12:30:00-03:00,104.08,104.36,103.8,104.1,17991
2022-03-03T12:45:00-03:00,104.16,104.42,103.87,103.99,31685
2022-03-03T13:00:00-03:00,104.01,104.1,103.44,103.44,30368
2022-03-03T13:15:00-03:00,103.39,104.17,103.25,103.88,23079
2022-03-03T13:30:00-03:00,103.85,104.57,103.73,104.5,15162
2022-03-03T13:45:00-03:00,104.45,104.51,103.88,104.26,19273
2022-03-03T14:00:00-03:00,104.19,104.34,103.87,104.0,12599
2022-03-03T14:15:00-03:00,103.99,104.02,102.32,102.38,53674
2022-03-03T14:30:00-03:00,102.41,104.53,102.41,103.57,30949
2022-03-03T14:45:00-03:00,103.54,103.87,103.28,103.71,10155
2022-03-03T15:00:00-03:00,103.66,104.07,103.59,103.8,25354
2022-03-03T15:15:00-03:00,103.89,104.39,103.89,104.21,13158
2022-03-03T15:30:00-03:00,104.135,104.15,103.4,103.47,11764
2022-03-03T15:45:00-03:00,103.48,103.67,103.12,103.28,15043
2022-03-03T16:00:00-03:00,103.25,103.37,102.85,103.35,19168
2022-03-03T16:15:00-03:00,103.33,103.44,102.89,102.99,23146
2022-03-03T16:30:00-03:00,102.98,102.98,102.17,102.24,27693
2022-03-03T16:45:00-03:00,102.18,102.19,101.7,102.11,36431
2022-03-03T17:00:00-03:00,102.0,102.0,101.33,101.44,41953
2022-03-03T17:15:00-03:00,101.44,101.88,101.4,101.81,42057
2022-03-03T17:30:00-03:00,101.78,101.83,101.21,101.25,47635
2022-03-03T17:45:00-03:00,101.21,101.5,100.93,101.36,164854
2022-03-04T11:30:00-03:00,100.24,102.35,100.12,101.15,72105
2022-03-04T11:45:00-03:00,101.19,101.23,100.05,101.16,33492
2022-03-04T12:00:00-03:00,101.12,101.48,100.12,100.32,33056
2022-03-04T12:15:00-03:00,100.39,101.09,100.11,100.82,30420
2022-03-04T12:30:00-03:00,100.81,101.3,100.41,100.54,20608
2022-03-04T12:45:00-03:00,100.53,100.63,99.57,99.62,27330
2022-03-04T13:00:00-03:00,99.62,99.82,99.05,99.18,29870
2022-03-04T13:15:00-03:00,99.21,99.49,98.9,99.215,26470
2022-03-04T13:30:00-03:00,99.15,99.51,98.655,99.47,20792
2022-03-04T13:45:00-03:00,99.48,99.65,99.26,99.34,25968
2022-03-04T14:00:00-03:00,99.25,100.34,99.17,100.3,27231
2022-03-04T14:15:00-03:00,100.3,100.52,99.79,100.22,16842
2022-03-04T14:30:00-03:00,100.23,100.35,99.78,99.79,30412
2022-03-04T14:45:00-03:00,99.73,100.68,99.7,100.62,15485
2022-03-04T15:00:00-03:00,100.7,101.48,100.7,100.99,19796
2022-03-04T15:15:00-03:00,101.02,101.18,100.72,100.81,14540
2022-03-04T15:30:00-03:00,100.85,101.06,100.34,100.38,16859
2022-03-04T15:45:00-03:00,100.3,100.54,100.17,100.17,23939
2022-03-04T16:00:00-03:00,100.22,100.25,99.87,99.88,17620
2022-03-04T16:15:00-03:00,99.92,100.3,99.74,100.09,21892
2022-03-04T16:30:00-03:00,100.04,100.4,99.93,99.95,14086
2022-03-04T16:45:00-03:00,99.93,100.15,99.6,99.65,27789
2022-03-04T17:00:00-03:00,99.65,100.02,99.54,99.72,20012
2022-03-04T17:15:00-03:00,99.76,100.28,99.75,100.13,27322
2022-03-04T17:30:00-03:00,100.02,100.12,99.5,99.84,25979
2022-03-04T17:45:00-03:00,99.85,100.32,99.6,99.89,130726
2022-03-07T11:30:00-03:00,99.5,100.33,98.69,98.92,68851
2022-03-07T11:45:00-03:00,98.89,99.17,97.2,97.3,40445
2022-03-07T12:00:00-03:00,97.29,97.55,96.48,96.5,48957
2022-03-07T12:15:00-03:00,96.48,96.7,95.55,96.06,41974
2022-03-07T12:30:00-03:00,96.045,96.6,95.23,95.38,59941
2022-03-07T12:45:00-03:00,95.42,95.77,95.11,95.65,52859
2022-03-07T13:00:00-03:00,95.76,96.97,95.74,96.57,32186
2022-03-07T13:15:00-03:00,96.54,97.39,96.54,96.9,29329
2022-03-07T13:30:00-03:00,96.83,96.83,96.22,96.32,36042
2022-03-07T13:45:00-03:00,96.29,96.7,95.76,95.9,19777
2022-03-07T14:00:00-03:00,95.86,96.18,95.59,95.9,18156
2022-03-07T14:15:00-03:00,96.04,96.37,95.7,95.92,18223
2022-03-07T14:30:00-03:00,95.81,96.94,95.79,96.605,20026
2022-03-07T14:45:00-03:00,96.57,97.46,96.29,96.35,27281
2022-03-07T15:00:00-03:00,96.295,96.56,95.83,95.885,26449
2022-03-07T15:15:00-03:00,95.89,95.94,95.49,95.67,31438
2022-03-07T15:30:00-03:00,95.62,95.92,95.32,95.71,16447
2022-03-07T15:45:00-03:00,95.57,96.25,95.41,95.42,16855
2022-03-07T16:00:00-03:00,95.4,95.99,95.21,95.82,19610
2022-03-07T16:15:00-03:00,95.82,95.96,95.45,95.6,14989
2022-03-07T16:30:00-03:00,95.43,95.5,94.87,94.9,35582
2022-03-07T16:45:00-03:00,94.87,94.87,94.45,94.69,42064
2022-03-07T17:00:00-03:00,94.75,94.83,94.37,94.48,36585
2022-03-07T17:15:00-03:00,94.44,95.12,94.37,94.99,43760
2022-03-07T17:30:00-03:00,94.92,94.95,94.36,94.57,43099
2022-03-07T17:45:00-03:00,94.51,94.51,93.5,93.55,112514
2022-03-08T11:30:00-03:00,93.0,94.25,92.35,94.13,78447
2022-03-08T11:45:00-03:00,94.21,94.76,92.53,92.79,29711
2022-03-08T12:00:00-03:00,92.5,93.66,92.28,93.53,30786
2022-03-08T12:15:00-03:00,93.67,94.72,93.31,93.39,34153
2022-03-08T12:30:00-03:00,93.26,93.82,92.58,93.2,27852
2022-03-08T12:45:00-03:00,93.17,95.11,93.08,94.82,45729
2022-03-08T13:00:00-03:00,94.85,95.19,94.13,94.18,38073
2022-03-08T13:15:00-03:00,94.28,94.73,94.1,94.7,32602
2022-03-08T13:30:00-03:00,94.65,94.74,93.59,93.93,30298
