time;open;high;low;close;Volume
2022-03-01T11:30:00-03:00;435.04;437.17;435;435.81;531846
2022-03-01T11:45:00-03:00;435.87;436.57;434.41;434.86;552546
2022-03-01T12:00:00-03:00;434.86;436.2;433.42;433.83;681734
2022-03-01T12:15:00-03:00;433.85;435.65;433.69;434.76;447896
2022-03-01T12:30:00-03:00;434.78;435.2;432.5;432.56;631337
2022-03-01T12:45:00-03:00;432.56;433.59;432.31;432.72;384725
2022-03-01T13:00:00-03:00;432.71;434.11;432.47;433.94;390705
2022-03-01T13:15:00-03:00;433.93;434.13;432.6;432.97;378630
2022-03-01T13:30:00-03:00;432.99;433.04;430.77;431.21;564115
2022-03-01T13:45:00-03:00;431.2;431.2;429.24;429.78;489337
2022-03-01T14:00:00-03:00;429.74;429.94;428.51;429.72;433727
2022-03-01T14:15:00-03:00;429.72;430.67;429.34;430.43;400456
2022-03-01T14:30:00-03:00;430.36;431.06;430.03;430.99;307869
2022-03-01T14:45:00-03:00;430.94;431.62;430.58;431.34;360127
2022-03-01T15:00:00-03:00;431.33;432.02;429.66;429.94;376044
2022-03-01T15:15:00-03:00;429.94;430.05;428.28;428.33;345083
2022-03-01T15:30:00-03:00;428.3;429.32;428.18;428.85;300929
2022-03-01T15:45:00-03:00;428.85;429.51;428.31;429.13;284839
2022-03-01T16:00:00-03:00;429.13;429.31;428.24;428.64;384371
2022-03-01T16:15:00-03:00;428.64;430.63;427.93;430.36;495737
2022-03-01T16:30:00-03:00;430.35;431.4;429.86;431.17;408068
2022-03-01T16:45:00-03:00;431.18;431.3;429.37;429.73;421456
2022-03-01T17:00:00-03:00;429.76;432.29;429.49;431.19;547056
2022-03-01T17:15:00-03:00;431.18;431.3;429.42;429.47;458984
2022-03-01T17:30:00-03:00;429.47;430.07;428.66;428.81;705795
2022-03-01T17:45:00-03:00;428.76;430.335;427.11;430;2085401
2022-03-02T11:30:00-03:00;432.37;434.08;431.91;433.83;764393
2022-03-02T11:45:00-03:00;433.83;434.76;433.04;433.61;662150
2022-03-02T12:00:00-03:00;433.62;434.69;431.57;431.85;737577
2022-03-02T12:15:00-03:00;431.84;435.08;431.58;434.36;886337
